cliente_id,total_eventos,dias_activo,logins,pagos_iniciados,pagos_exitosos,pagos_fallidos,consultas_saldo,simulaciones_credito,solicitudes_soporte,pct_exitosos,pct_abandonados,sesion_promedio_seg,tasa_conversion_pago
CL00105,4,217,3,1,0,0,0,0,0,1.0,0.0,222.5,0.0
CL00106,8,106,3,2,0,0,3,0,0,0.875,0.125,154.375,0.0
CL00107,5,331,3,0,0,0,2,0,0,0.8,0.2,132.6,0.0
CL00108,11,119,5,3,0,1,1,0,1,0.8181818181818182,0.0,124.18181818181819,0.0
CL00109,8,653,3,0,3,0,2,0,0,0.875,0.125,202.0,0.0
CL00110,8,416,2,2,2,0,0,0,1,0.875,0.0,116.5,1.0
CL00111,9,971,2,0,2,0,3,1,1,0.6666666666666666,0.2222222222222222,92.88888888888889,0.0
CL00112,7,395,4,0,2,0,0,0,0,1.0,0.0,150.14285714285714,0.0
CL00113,8,360,2,2,1,1,1,0,1,0.625,0.125,166.0,0.5
CL00114,9,570,4,0,3,0,1,0,0,0.7777777777777778,0.2222222222222222,188.33333333333334,0.0
CL00115,6,196,2,0,0,1,2,1,0,0.6666666666666666,0.16666666666666666,156.0,0.0
CL00116,7,675,0,2,1,0,3,1,0,0.7142857142857143,0.2857142857142857,146.0,0.5
CL00117,10,375,4,2,1,1,2,0,0,0.9,0.0,117.2,0.5
CL00118,5,107,1,1,1,0,1,0,1,0.8,0.0,82.6,1.0
CL00119,10,903,1,2,1,2,2,2,0,0.6,0.2,143.8,0.5
CL00120,7,192,3,1,0,0,2,0,1,0.7142857142857143,0.14285714285714285,258.0,0.0
CL00121,8,327,1,0,3,1,1,0,2,0.375,0.25,149.0,0.0
CL00122,3,236,1,0,2,0,0,0,0,1.0,0.0,191.0,0.0
CL00123,13,616,5,4,0,0,1,1,1,0.9230769230769231,0.0,199.15384615384616,0.0
CL00124,6,112,3,0,0,0,0,0,1,0.6666666666666666,0.16666666666666666,182.33333333333334,0.0
CL00125,7,756,3,1,1,0,0,1,0,0.8571428571428571,0.14285714285714285,210.42857142857142,1.0
CL00126,10,454,4,0,1,1,3,0,1,0.7,0.1,162.6,0.0
CL00127,12,861,2,1,2,2,3,1,0,0.5,0.3333333333333333,75.75,2.0
CL00128,11,1007,3,2,4,1,0,0,0,0.9090909090909091,0.0,178.63636363636363,2.0
CL00129,3,96,2,0,1,0,0,0,0,1.0,0.0,171.0,0.0
CL00130,6,1068,2,2,1,0,1,0,0,1.0,0.0,145.5,0.5
CL00131,8,1126,2,3,1,0,2,0,0,1.0,0.0,198.0,0.3333333333333333
CL00132,4,840,1,0,0,0,3,0,0,1.0,0.0,153.25,0.0
CL00133,10,972,4,1,0,0,2,1,1,0.6,0.3,111.7,0.0
CL00134,6,1056,2,0,2,0,2,0,0,1.0,0.0,109.33333333333333,0.0
CL00135,9,229,3,3,1,0,2,0,0,0.7777777777777778,0.2222222222222222,137.55555555555554,0.3333333333333333
CL00136,6,366,1,1,1,1,0,1,1,0.6666666666666666,0.0,144.66666666666666,1.0
CL00137,10,217,3,3,1,0,2,0,0,0.7,0.3,162.2,0.3333333333333333
CL00138,12,154,4,3,0,0,3,1,1,0.75,0.16666666666666666,207.91666666666666,0.0
CL00139,14,809,6,0,2,2,2,0,0,0.7142857142857143,0.14285714285714285,152.78571428571428,0.0
CL00140,13,943,1,1,1,0,4,2,1,0.9230769230769231,0.0,173.69230769230768,1.0
CL00141,5,778,2,2,0,0,0,0,1,0.8,0.0,217.4,0.0
CL00142,12,490,4,1,2,0,3,2,0,0.8333333333333334,0.16666666666666666,107.58333333333333,2.0
CL00143,2,16,1,0,0,0,0,0,0,1.0,0.0,127.5,0.0
CL00144,11,578,3,2,3,0,1,0,1,0.8181818181818182,0.09090909090909091,123.54545454545455,1.5
CL00145,7,652,2,1,0,0,1,0,3,0.2857142857142857,0.2857142857142857,129.42857142857142,0.0
CL00146,16,792,4,2,3,1,2,1,3,0.5625,0.1875,141.0625,1.5
CL00147,2,226,0,1,0,0,1,0,0,1.0,0.0,429.0,0.0
CL00148,9,917,5,2,0,1,1,0,0,0.5555555555555556,0.3333333333333333,111.11111111111111,0.0
CL00149,10,657,1,3,0,0,2,1,1,0.9,0.0,115.1,0.0
CL00150,15,149,6,0,1,0,2,0,3,0.7333333333333333,0.06666666666666667,229.86666666666667,0.0
CL00151,5,298,1,1,1,0,2,0,0,0.8,0.2,152.4,1.0
CL00152,9,145,3,0,1,1,2,1,0,0.6666666666666666,0.2222222222222222,191.44444444444446,0.0
CL00153,20,822,10,3,1,0,2,1,1,0.9,0.05,144.25,0.3333333333333333
CL00154,24,563,8,5,0,3,4,3,1,0.6666666666666666,0.16666666666666666,178.16666666666666,0.0
CL00155,18,266,2,5,2,0,7,1,0,0.7777777777777778,0.2222222222222222,114.0,0.4
CL00156,10,618,8,0,0,0,1,0,1,0.9,0.0,84.4,0.0
CL00157,5,137,0,1,1,0,1,0,1,0.4,0.4,144.4,1.0
CL00158,8,495,1,0,1,0,2,1,3,0.5,0.125,154.375,0.0
CL00159,6,680,1,2,1,0,1,0,1,0.8333333333333334,0.0,178.5,0.5
CL00160,3,359,1,1,0,0,1,0,0,1.0,0.0,107.66666666666667,0.0
CL00161,9,317,3,0,4,0,2,0,0,0.7777777777777778,0.2222222222222222,175.88888888888889,0.0
CL00162,6,818,1,2,0,0,2,0,0,0.6666666666666666,0.3333333333333333,126.5,0.0
CL00163,7,469,2,1,0,0,0,2,2,0.7142857142857143,0.0,152.28571428571428,0.0
CL00164,12,1051,5,1,1,2,3,0,0,0.6666666666666666,0.16666666666666666,170.25,1.0
CL00165,19,986,4,4,3,1,5,0,2,0.6842105263157895,0.15789473684210525,191.26315789473685,0.75
CL00166,8,151,2,1,2,0,2,0,1,0.875,0.0,169.375,2.0
CL00167,16,969,3,4,2,1,4,0,1,0.8125,0.0625,100.125,0.5
CL00168,16,768,4,3,1,1,3,1,3,0.625,0.125,186.0,0.3333333333333333
CL00169,11,997,1,0,0,2,5,0,1,0.6363636363636364,0.09090909090909091,169.27272727272728,0.0
CL00170,8,841,2,0,1,0,2,0,2,0.625,0.125,85.75,0.0
CL00171,6,792,0,1,2,2,1,0,0,0.6666666666666666,0.0,263.8333333333333,2.0
CL00172,8,260,2,1,1,0,3,0,1,0.625,0.25,151.75,1.0
CL00173,10,893,4,2,2,0,2,0,0,0.8,0.2,97.6,1.0
CL00174,5,599,3,1,0,0,0,0,1,0.8,0.0,113.4,0.0
CL00175,8,249,3,2,2,0,1,0,0,0.75,0.25,93.375,1.0
CL00176,3,303,2,1,0,0,0,0,0,1.0,0.0,138.66666666666666,0.0
CL00177,5,821,1,0,1,0,1,1,1,0.8,0.0,179.6,0.0
CL00178,8,658,1,4,1,0,1,0,1,0.75,0.125,159.125,0.25
CL00179,4,572,1,0,1,0,2,0,0,1.0,0.0,246.75,0.0
CL00180,11,284,2,2,2,0,4,0,1,0.7272727272727273,0.18181818181818182,157.45454545454547,1.0
CL00181,9,238,1,4,3,0,1,0,0,1.0,0.0,127.55555555555556,0.75
CL00182,7,550,0,0,1,0,2,0,4,0.42857142857142855,0.0,154.14285714285714,0.0
CL00183,18,631,5,1,4,1,3,2,1,0.8333333333333334,0.05555555555555555,140.66666666666666,4.0
CL00184,7,746,2,2,1,0,2,0,0,1.0,0.0,121.14285714285714,0.5
CL00185,9,282,4,0,1,0,3,0,1,0.8888888888888888,0.0,167.22222222222223,0.0
CL00186,11,857,3,1,3,0,2,0,1,0.8181818181818182,0.09090909090909091,188.36363636363637,3.0
CL00187,4,321,2,0,0,0,0,0,1,0.75,0.0,124.5,0.0
CL00188,7,437,4,1,1,0,0,1,0,0.8571428571428571,0.14285714285714285,132.57142857142858,1.0
CL00189,8,602,4,1,1,0,1,0,1,0.875,0.0,91.625,1.0
CL00190,12,173,2,2,1,0,3,2,0,0.8333333333333334,0.16666666666666666,136.25,0.5
CL00191,9,129,3,1,2,0,3,0,0,1.0,0.0,99.77777777777777,2.0
CL00192,7,474,2,1,2,1,0,0,1,0.5714285714285714,0.14285714285714285,138.42857142857142,2.0
CL00193,6,247,1,1,1,1,1,0,1,0.5,0.16666666666666666,157.66666666666666,1.0
CL00194,19,868,8,2,1,2,2,2,1,0.631578947368421,0.21052631578947367,142.3684210526316,0.5
CL00195,7,83,4,0,0,0,1,0,2,0.7142857142857143,0.0,138.42857142857142,0.0
CL00196,12,821,5,0,1,1,3,0,1,0.75,0.08333333333333333,200.41666666666666,0.0
CL00197,13,985,2,3,4,0,4,0,0,0.8461538461538461,0.15384615384615385,211.15384615384616,1.3333333333333333
CL00198,10,850,6,0,3,0,1,0,0,0.9,0.1,184.9,0.0
CL00199,4,45,0,2,0,1,0,0,0,0.75,0.0,181.25,0.0
CL00200,18,557,1,5,3,1,5,0,2,0.8333333333333334,0.0,153.83333333333334,0.6
CL00201,3,26,0,2,0,0,1,0,0,1.0,0.0,114.33333333333333,0.0
CL00202,8,228,3,2,1,0,2,0,0,0.75,0.25,108.0,0.5
CL00203,12,740,4,3,2,0,2,1,0,0.9166666666666666,0.08333333333333333,154.75,0.6666666666666666
CL00204,9,676,2,3,0,0,3,0,1,0.8888888888888888,0.0,208.55555555555554,0.0
CL00205,9,679,2,0,2,0,5,0,0,1.0,0.0,155.44444444444446,0.0
CL00206,12,639,3,1,1,1,4,0,0,0.8333333333333334,0.08333333333333333,172.33333333333334,1.0
CL00207,13,369,4,3,1,1,1,0,2,0.5384615384615384,0.23076923076923078,145.0,0.3333333333333333
CL00208,3,299,2,0,0,0,1,0,0,0.3333333333333333,0.6666666666666666,184.0,0.0
CL00209,5,522,2,1,1,0,1,0,0,0.8,0.2,245.0,1.0
CL00210,9,90,2,0,2,1,2,0,1,0.5555555555555556,0.2222222222222222,147.0,0.0
CL00211,6,743,1,2,2,0,1,0,0,0.8333333333333334,0.16666666666666666,203.5,1.0
CL00212,17,260,6,1,2,2,2,2,1,0.7647058823529411,0.058823529411764705,159.35294117647058,2.0
CL00213,2,26,0,1,0,0,0,1,0,1.0,0.0,192.5,0.0
CL00214,14,349,2,4,2,0,3,3,0,0.6428571428571429,0.35714285714285715,154.14285714285714,0.5
CL00215,15,685,3,4,1,1,3,1,0,0.7333333333333333,0.2,139.8,0.25
CL00216,4,423,0,0,1,2,1,0,0,0.5,0.0,121.0,0.0
CL00217,10,852,4,2,1,0,1,0,1,0.6,0.3,165.3,0.5
CL00218,7,415,1,1,0,1,2,2,0,0.7142857142857143,0.14285714285714285,161.0,0.0
CL00219,13,540,4,2,1,1,3,0,1,0.6923076923076923,0.15384615384615385,144.3846153846154,0.5
CL00220,11,842,6,1,1,0,2,0,1,0.9090909090909091,0.0,138.72727272727272,1.0
CL00221,13,364,3,3,1,1,2,0,3,0.5384615384615384,0.15384615384615385,101.6923076923077,0.3333333333333333
CL00222,11,897,3,2,3,0,1,0,1,0.8181818181818182,0.09090909090909091,166.1818181818182,1.5
CL00223,6,143,2,2,0,0,1,1,0,0.8333333333333334,0.16666666666666666,177.83333333333334,0.0
CL00224,14,749,5,1,1,1,4,1,0,0.9285714285714286,0.0,169.42857142857142,1.0
CL00225,6,265,2,2,1,0,1,0,0,1.0,0.0,247.33333333333334,0.5
CL00226,9,801,3,1,1,0,2,1,1,0.7777777777777778,0.1111111111111111,308.1111111111111,1.0
CL00227,11,601,4,1,1,0,3,0,1,0.7272727272727273,0.18181818181818182,174.36363636363637,1.0
CL00228,9,984,2,0,0,2,3,1,1,0.4444444444444444,0.2222222222222222,134.55555555555554,0.0
CL00229,13,267,4,0,2,0,4,1,1,0.9230769230769231,0.0,165.53846153846155,0.0
CL00230,14,108,0,4,4,2,4,0,0,0.7142857142857143,0.14285714285714285,162.57142857142858,1.0
CL00231,14,905,6,1,3,0,1,1,0,1.0,0.0,137.0,3.0
CL00232,16,525,3,4,2,1,2,1,3,0.75,0.0,121.9375,0.5
CL00233,14,673,5,3,2,1,2,0,1,0.8571428571428571,0.0,116.07142857142857,0.6666666666666666
CL00234,13,1035,2,5,3,0,0,2,1,0.9230769230769231,0.0,119.38461538461539,0.6
CL00235,10,814,7,1,0,0,1,0,1,0.9,0.0,130.8,0.0
CL00236,15,655,3,3,2,0,5,0,2,0.7333333333333333,0.13333333333333333,128.73333333333332,0.6666666666666666
CL00237,12,631,5,1,2,0,4,0,0,0.75,0.25,101.41666666666667,2.0
CL00238,8,607,5,1,1,0,1,0,0,0.75,0.25,155.25,1.0
CL00239,14,110,3,0,1,1,4,2,3,0.6428571428571429,0.07142857142857142,233.92857142857142,0.0
CL00240,5,329,2,0,2,0,0,0,0,1.0,0.0,216.8,0.0
CL00241,17,602,4,2,3,4,1,0,3,0.47058823529411764,0.11764705882352941,140.0,1.5
CL00242,3,241,1,0,1,0,0,1,0,0.6666666666666666,0.3333333333333333,298.3333333333333,0.0
CL00243,6,726,3,1,0,0,2,0,0,0.6666666666666666,0.3333333333333333,192.0,0.0
CL00244,5,631,3,1,0,0,0,1,0,0.6,0.4,234.8,0.0
CL00245,23,297,1,5,4,1,4,0,5,0.6956521739130435,0.043478260869565216,113.91304347826087,0.8
CL00246,14,529,6,3,1,0,1,1,1,0.9285714285714286,0.0,146.28571428571428,0.3333333333333333
CL00247,7,430,0,0,3,0,1,0,2,0.42857142857142855,0.2857142857142857,114.14285714285714,0.0
CL00248,5,674,2,0,0,1,2,0,0,0.8,0.0,158.8,0.0
CL00249,5,247,0,1,1,0,2,0,1,0.8,0.0,154.6,1.0
CL00250,9,992,1,3,1,0,3,0,1,0.7777777777777778,0.1111111111111111,180.77777777777777,0.3333333333333333
CL00251,3,343,1,2,0,0,0,0,0,1.0,0.0,158.0,0.0
CL00252,15,628,4,3,1,1,1,1,3,0.6666666666666666,0.06666666666666667,256.53333333333336,0.3333333333333333
CL00253,7,364,1,1,0,1,2,2,0,0.8571428571428571,0.0,111.57142857142857,0.0
CL00254,7,683,3,1,1,0,0,0,0,1.0,0.0,109.14285714285714,1.0
CL00255,7,88,1,1,1,0,4,0,0,1.0,0.0,208.57142857142858,1.0
CL00256,10,838,6,0,1,1,0,1,0,0.7,0.2,213.4,0.0
CL00257,1,1,0,0,0,0,1,0,0,1.0,0.0,99.0,0.0
CL00258,13,598,3,3,1,0,6,0,0,0.8461538461538461,0.15384615384615385,151.92307692307693,0.3333333333333333
CL00259,10,814,4,0,1,0,1,0,3,0.5,0.2,164.7,0.0
CL00260,4,416,0,1,1,0,0,0,1,0.5,0.25,203.25,1.0
CL00261,16,148,5,2,2,0,5,1,0,1.0,0.0,169.0,1.0
CL00262,10,439,1,4,0,0,4,1,0,0.8,0.2,116.7,0.0
CL00263,12,409,3,0,2,0,4,0,1,0.5,0.4166666666666667,203.16666666666666,0.0
CL00264,12,357,5,3,1,0,1,2,0,0.9166666666666666,0.08333333333333333,168.66666666666666,0.3333333333333333
CL00265,12,764,4,1,1,0,5,0,0,0.9166666666666666,0.08333333333333333,119.33333333333333,1.0
CL00266,6,631,2,1,1,0,1,0,0,0.8333333333333334,0.16666666666666666,267.5,1.0
CL00267,8,453,1,1,1,0,2,1,1,0.625,0.25,151.875,1.0
CL00268,10,791,2,0,0,0,4,2,1,0.9,0.0,139.9,0.0
CL00269,6,367,3,0,2,0,0,0,0,0.6666666666666666,0.3333333333333333,214.5,0.0
CL00270,7,897,0,1,1,0,4,1,0,1.0,0.0,147.42857142857142,1.0
CL00271,10,641,1,1,5,0,0,0,1,0.9,0.0,134.2,5.0
CL00272,7,150,3,1,0,0,1,0,1,0.7142857142857143,0.14285714285714285,187.28571428571428,0.0
CL00273,16,516,6,2,3,0,3,1,0,0.6875,0.3125,118.125,1.5
CL00274,9,125,1,2,0,1,3,0,0,0.7777777777777778,0.1111111111111111,256.55555555555554,0.0
CL00275,4,624,2,2,0,0,0,0,0,0.75,0.25,166.0,0.0
CL00276,9,590,2,0,3,1,0,1,2,0.6666666666666666,0.0,256.22222222222223,0.0
CL00277,13,159,4,3,1,1,0,3,0,0.9230769230769231,0.0,191.30769230769232,0.3333333333333333
CL00278,15,216,3,3,3,0,3,0,2,0.8,0.06666666666666667,143.8,1.0
CL00279,14,1015,6,3,2,0,2,1,0,0.8571428571428571,0.14285714285714285,170.0,0.6666666666666666
CL00280,5,93,1,1,1,0,2,0,0,1.0,0.0,255.8,1.0
CL00281,13,954,4,2,4,0,1,1,0,0.9230769230769231,0.07692307692307693,153.69230769230768,2.0
CL00282,5,244,1,1,2,0,0,0,1,0.8,0.0,209.0,2.0
CL00283,5,776,4,0,0,0,0,0,1,0.6,0.2,196.2,0.0
CL00284,7,794,1,0,3,0,2,1,0,1.0,0.0,109.85714285714286,0.0
CL00285,17,966,6,3,2,1,2,1,2,0.5882352941176471,0.23529411764705882,132.8235294117647,0.6666666666666666
CL00286,13,240,1,2,5,0,4,0,1,0.8461538461538461,0.07692307692307693,154.76923076923077,2.5
CL00287,8,463,4,2,0,0,1,0,0,0.25,0.75,123.125,0.0
CL00288,17,475,6,1,3,1,4,1,0,0.6470588235294118,0.29411764705882354,139.64705882352942,3.0
CL00289,12,487,4,2,0,0,3,2,0,0.9166666666666666,0.08333333333333333,118.91666666666667,0.0
CL00290,13,732,3,3,2,0,4,1,0,0.9230769230769231,0.07692307692307693,172.07692307692307,0.6666666666666666
CL00291,15,788,3,2,2,0,6,1,0,0.9333333333333333,0.06666666666666667,161.4,1.0
CL00292,10,876,3,1,1,0,3,1,1,0.7,0.2,128.3,1.0
CL00293,5,162,1,1,1,0,0,0,1,0.8,0.0,218.2,1.0
CL00294,12,521,2,2,1,2,3,0,1,0.5833333333333334,0.16666666666666666,137.66666666666666,0.5
CL00295,13,851,5,0,3,1,1,0,1,0.7692307692307693,0.07692307692307693,175.84615384615384,0.0
CL00296,8,113,3,1,2,0,0,0,2,0.75,0.0,148.125,2.0
CL00297,13,114,2,3,4,1,2,0,1,0.6153846153846154,0.23076923076923078,117.07692307692308,1.3333333333333333
CL00298,7,706,1,2,0,0,1,2,1,0.7142857142857143,0.14285714285714285,142.28571428571428,0.0
CL00299,10,218,4,1,2,1,1,0,1,0.8,0.0,102.1,2.0
CL00300,13,240,1,1,3,0,4,3,1,0.7692307692307693,0.15384615384615385,233.69230769230768,3.0
