credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,tasa_outlier,mora_30,max_dias_mora_6m,pct_pagadas_tiempo,n_cuotas_con_mora,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,score_externo,canal_adquisicion,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,score_externo_nulo,edad_sospechosa,total_eventos,dias_activo,logins,pagos_iniciados,pagos_exitosos,pagos_fallidos,consultas_saldo,simulaciones_credito,solicitudes_soporte,pct_exitosos,pct_abandonados,sesion_promedio_seg,tasa_conversion_pago
CR000011,CL00011,2025-09-11,Crédito consumo digital,350000,12,0.0252,34000,App,783,0.0262,Automática,Activo,0,0,0,1.0,0,31,F,4,Técnico/Tecnólogo,Desempleado,1300000.0,573.0,Referido,False,1,Android,0,0,12,192,4,3,0,0,2,1,1,0.6666666666666666,0.25,198.66666666666666,0.0
CR000012,CL00011,2026-01-11,Crédito libre inversión,1300000,12,0.0315,132000,Web,756,0.1015,Automática,Activo,0,0,0,0.75,0,31,F,4,Técnico/Tecnólogo,Desempleado,1300000.0,573.0,Referido,False,1,Android,0,0,12,192,4,3,0,0,2,1,1,0.6666666666666666,0.25,198.66666666666666,0.0
CR000013,CL00012,2025-03-29,Crédito libre inversión,6300000,9,0.0268,797000,Web,870,0.2271,Automática,Finalizado,0,0,0,1.0,0,31,M,4,Universitario,Empleado,3510000.0,665.0,Campaña digital,False,0,Android,0,0,7,678,4,1,1,0,1,0,0,1.0,0.0,207.85714285714286,1.0
CR000014,CL00013,2026-01-19,Crédito consumo digital,1700000,6,0.0259,310000,App,866,0.0664,Automática,Activo,0,0,0,1.0,0,38,M,5,Técnico/Tecnólogo,Empleado,4670000.0,692.0,Aliado comercial,False,0,Android,0,0,10,449,2,2,3,1,1,1,0,0.8,0.1,139.3,1.5
CR000015,CL00014,2026-02-12,Crédito consumo digital,600000,3,0.0222,209000,Web,610,0.275,Manual,Activo,0,0,0,0.6666666666666666,0,19,F,1,Técnico/Tecnólogo,Estudiante,760000.0,435.0,App orgánico,False,3,Android,0,0,10,177,3,2,1,0,2,0,1,0.4,0.5,145.4,0.5
CR000016,CL00015,2025-12-14,Crédito consumo digital,1400000,12,0.0286,139000,App,836,0.0468,Automática,Activo,0,0,16,0.6,1,19,M,4,Bachiller,Empleado,2970000.0,506.0,App orgánico,False,4,iOS,0,0,24,117,6,6,1,2,5,0,1,0.7916666666666666,0.08333333333333333,159.5,0.16666666666666666
CR000017,CL00015,2025-12-13,Crédito libre inversión,4400000,6,0.022,791000,Web,727,0.2663,Automática,Mora severa,0,1,77,0.4,2,19,M,4,Bachiller,Empleado,2970000.0,506.0,App orgánico,False,4,iOS,0,0,24,117,6,6,1,2,5,0,1,0.7916666666666666,0.08333333333333333,159.5,0.16666666666666666
CR000018,CL00015,2025-12-05,Crédito consumo digital,1450000,9,0.0377,193000,App,868,0.065,Automática,Activo,0,0,26,0.6,1,19,M,4,Bachiller,Empleado,2970000.0,506.0,App orgánico,False,4,iOS,0,0,24,117,6,6,1,2,5,0,1,0.7916666666666666,0.08333333333333333,159.5,0.16666666666666666
CR000019,CL00016,2024-11-14,Crédito libre inversión,4350000,9,0.0309,561000,App,857,0.2397,Automática,Finalizado,0,0,0,1.0,0,30,F,2,Sin información,Empleado,2340000.0,577.0,Aliado comercial,True,1,Web,0,0,7,801,0,1,0,0,1,1,2,0.5714285714285714,0.14285714285714285,142.42857142857142,0.0
CR000020,CL00017,2025-10-17,Crédito consumo digital,4200000,9,0.0275,533000,App,894,0.1444,Automática,Activo,0,0,15,0.6666666666666666,2,26,F,2,Técnico/Tecnólogo,Empleado,3690000.0,658.0,App orgánico,False,1,iOS,0,0,10,492,3,0,2,0,3,1,0,0.8,0.2,174.3,0.0
CR000021,CL00018,2024-11-27,Crédito consumo digital,850000,6,0.0234,154000,Call center,874,0.0533,Automática,Finalizado,0,0,3,0.8333333333333334,1,39,M,5,Bachiller,Comerciante,2890000.0,651.0,Referido,False,1,Android,0,0,12,637,6,2,0,0,2,0,2,0.6666666666666666,0.16666666666666666,127.41666666666667,0.0
CR000022,CL00020,2025-04-07,Crédito consumo digital,1950000,3,0.034,695000,Aliado,900,0.1421,Automática,Finalizado,0,0,0,1.0,0,22,M,5,Universitario,Empleado,4890000.0,706.0,Referido,True,2,Android,0,0,13,928,6,2,1,1,1,0,2,0.6153846153846154,0.15384615384615385,116.0,0.5
CR000023,CL00023,2026-01-26,Crédito consumo digital,4100000,9,0.0322,532000,App,900,0.1354,Automática,Activo,0,0,0,1.0,0,37,F,5,Sin información,Empleado,3930000.0,669.0,Referido,False,0,Android,0,0,5,122,0,2,0,0,1,0,1,0.6,0.2,69.0,0.0
CR000024,CL00026,2025-10-28,Crédito consumo digital,2050000,12,0.0308,207000,App,867,0.0674,Automática,Activo,0,0,2,0.8333333333333334,1,37,F,3,Técnico/Tecnólogo,Independiente,3070000.0,618.0,Aliado comercial,False,0,Android,0,0,6,145,2,1,0,0,0,1,2,0.5,0.16666666666666666,190.33333333333334,0.0
CR000025,CL00027,2024-03-03,Crédito consumo digital,1300000,12,0.0248,127000,App,845,0.0357,Automática,Mora severa,0,0,0,1.0,0,24,F,5,Técnico/Tecnólogo,Independiente,3560000.0,616.0,Call center,True,1,iOS,0,0,4,938,3,0,0,0,1,0,0,0.75,0.25,156.75,0.0
CR000026,CL00028,2025-05-15,Crédito consumo digital,850000,12,0.0212,81000,Aliado,708,0.075,Automática,Mora severa,0,0,15,0.8333333333333334,1,40,F,4,Sin información,Estudiante,1080000.0,548.0,Referido,False,0,iOS,0,0,18,153,9,3,0,0,4,1,0,0.9444444444444444,0.05555555555555555,150.05555555555554,0.0
CR000027,CL00028,2025-10-03,Crédito libre inversión,1950000,6,0.0311,361000,Aliado,667,0.3343,Automática,Finalizado,0,0,14,0.5,3,40,F,4,Sin información,Estudiante,1080000.0,548.0,Referido,False,0,iOS,0,0,18,153,9,3,0,0,4,1,0,0.9444444444444444,0.05555555555555555,150.05555555555554,0.0
CR000028,CL00028,2025-12-20,Crédito libre inversión,2550000,6,0.0284,468000,App,661,0.4333,Manual,Activo,0,0,22,0.5,2,40,F,4,Sin información,Estudiante,1080000.0,548.0,Referido,False,0,iOS,0,0,18,153,9,3,0,0,4,1,0,0.9444444444444444,0.05555555555555555,150.05555555555554,0.0
CR000029,CL00029,2025-10-10,Crédito consumo digital,3300000,6,0.0322,614000,App,877,0.1616,Automática,Finalizado,0,0,0,1.0,0,30,F,2,Técnico/Tecnólogo,Microempresario,3800000.0,645.0,Call center,False,0,Android,0,0,10,611,1,3,1,0,1,0,3,0.6,0.1,183.4,0.3333333333333333
CR000030,CL00030,2025-12-18,Crédito libre inversión,4350000,12,0.0217,416000,App,864,0.1195,Automática,Activo,0,0,0,1.0,0,33,M,3,Universitario,Empleado,3480000.0,636.0,Referido,False,0,Android,0,0,9,156,2,3,2,1,0,0,1,0.5555555555555556,0.2222222222222222,149.22222222222223,0.6666666666666666
CR000031,CL00031,2026-01-29,Crédito libre inversión,9600000,18,0.0204,643000,Aliado,900,0.1448,Automática,Activo,0,0,0,1.0,0,30,M,3,Universitario,Independiente,4440000.0,615.0,Campaña digital,True,0,Android,0,0,6,495,1,0,1,0,1,1,2,0.6666666666666666,0.0,92.5,0.0
CR000032,CL00033,2025-08-11,Crédito consumo digital,4000000,12,0.0383,422000,App,900,0.1275,Automática,Activo,0,0,0,1.0,0,36,M,4,Bachiller,Independiente,3310000.0,675.0,Referido,False,1,Android,0,0,6,219,2,1,1,0,0,1,1,0.6666666666666666,0.16666666666666666,120.33333333333333,1.0
CR000033,CL00034,2026-02-01,Microcrédito,700000,6,0.0255,127000,App,811,0.083,Automática,Activo,0,0,0,0.6666666666666666,0,25,F,1,Técnico/Tecnólogo,Comerciante,1530000.0,476.0,Aliado comercial,True,1,Android,0,0,22,109,6,2,0,2,4,1,4,0.6818181818181818,0.045454545454545456,168.54545454545453,0.0
CR000034,CL00034,2025-08-01,Crédito libre inversión,1200000,12,0.0332,123000,Web,730,0.0804,Automática,Mora moderada,0,1,32,0.6666666666666666,2,25,F,1,Técnico/Tecnólogo,Comerciante,1530000.0,476.0,Aliado comercial,True,1,Android,0,0,22,109,6,2,0,2,4,1,4,0.6818181818181818,0.045454545454545456,168.54545454545453,0.0
CR000035,CL00035,2025-03-21,Crédito consumo digital,4050000,6,0.0373,766000,Web,900,0.152,Automática,Finalizado,0,0,0,1.0,0,44,M,3,Posgrado,Microempresario,5040000.0,684.0,Campaña digital,False,2,Android,0,0,8,262,6,0,0,0,0,0,2,0.625,0.125,85.875,0.0
CR000036,CL00036,2025-09-29,Crédito consumo digital,950000,12,0.0211,90000,Aliado,572,0.0448,Manual,Activo,0,0,0,1.0,0,24,M,2,Técnico/Tecnólogo,Independiente,2010000.0,588.0,Campaña digital,True,1,Android,1,0,17,389,4,4,1,2,3,1,0,0.7647058823529411,0.11764705882352941,153.1764705882353,0.25
CR000037,CL00036,2025-11-03,Crédito libre inversión,6550000,6,0.0248,1188000,App,462,0.591,Excepción,Activo,0,0,27,0.3333333333333333,3,24,M,2,Técnico/Tecnólogo,Independiente,2010000.0,588.0,Campaña digital,True,1,Android,1,0,17,389,4,4,1,2,3,1,0,0.7647058823529411,0.11764705882352941,153.1764705882353,0.25
CR000038,CL00037,2025-10-10,Crédito libre inversión,6450000,6,0.0267,1178000,Web,889,0.5746,Excepción,Mora moderada,0,1,52,0.6666666666666666,2,38,M,1,Posgrado,Empleado,2050000.0,601.0,Campaña digital,False,1,Android,0,0,8,232,2,0,1,0,4,0,0,0.875,0.125,147.625,0.0
CR000039,CL00038,2025-09-19,Crédito consumo digital,1900000,12,0.0338,195000,App,679,0.0759,Automática,Mora severa,0,1,73,0.3333333333333333,4,19,F,3,Bachiller,Desempleado,760000.0,418.0,Referido,False,2,Android,0,0,8,204,2,2,0,0,2,0,1,0.625,0.25,160.75,0.0
CR000040,CL00039,2025-11-29,Crédito consumo digital,2650000,6,0.0263,483000,App,854,0.1543,Automática,Activo,0,0,0,1.0,0,23,M,4,Universitario,Empleado,3130000.0,670.0,Campaña digital,True,2,Android,0,0,13,621,2,3,3,1,1,2,0,0.8461538461538461,0.07692307692307693,202.23076923076923,1.0
CR000041,CL00039,2024-06-27,Crédito libre inversión,4450000,12,0.0183,417000,App,864,0.1332,Automática,Mora moderada,0,0,0,1.0,0,23,M,4,Universitario,Empleado,3130000.0,670.0,Campaña digital,True,2,Android,0,0,13,621,2,3,3,1,1,2,0,0.8461538461538461,0.07692307692307693,202.23076923076923,1.0
CR000042,CL00040,2025-09-01,Microcrédito,2350000,3,0.0408,848000,App,900,0.2024,Automática,Mora severa,0,1,74,0.6666666666666666,1,38,M,3,Bachiller,Microempresario,4190000.0,610.0,App orgánico,False,2,iOS,0,0,14,134,6,2,1,0,2,0,3,0.5714285714285714,0.21428571428571427,128.28571428571428,0.5
CR000043,CL00040,2026-01-09,Avance de nómina,1800000,6,0.0187,320000,Web,840,0.0764,Automática,Activo,0,0,0,0.75,0,38,M,3,Bachiller,Microempresario,4190000.0,610.0,App orgánico,False,2,iOS,0,0,14,134,6,2,1,0,2,0,3,0.5714285714285714,0.21428571428571427,128.28571428571428,0.5
CR000044,CL00041,2023-10-04,Microcrédito,3800000,3,0.0396,1368000,App,827,0.45,Manual,Finalizado,0,0,0,1.0,0,43,F,4,Técnico/Tecnólogo,Independiente,3040000.0,699.0,Campaña digital,False,1,Android,0,0,8,929,3,1,3,0,0,0,1,0.875,0.0,105.625,3.0
CR000046,CL00043,2025-03-30,Crédito consumo digital,1550000,9,0.0294,199000,Call center,900,0.0812,Automática,Finalizado,0,0,0,1.0,0,35,M,5,Técnico/Tecnólogo,Empleado,2450000.0,690.0,App orgánico,False,2,Android,0,0,5,519,2,0,0,0,1,0,1,0.4,0.4,172.8,0.0
CR000047,CL00044,2026-01-05,Crédito consumo digital,1150000,12,0.0308,116000,Aliado,900,0.0391,Automática,Activo,0,0,0,0.75,0,33,F,4,Bachiller,Microempresario,2970000.0,704.0,App orgánico,False,0,Android,0,0,10,364,1,2,1,1,2,1,2,0.7,0.0,112.9,0.5
CR000048,CL00044,2025-09-09,Avance de nómina,900000,3,0.0192,312000,Aliado,900,0.1051,Automática,Finalizado,0,0,0,1.0,0,33,F,4,Bachiller,Microempresario,2970000.0,704.0,App orgánico,False,0,Android,0,0,10,364,1,2,1,1,2,1,2,0.7,0.0,112.9,0.5
CR000049,CL00045,2024-11-13,Crédito consumo digital,700000,3,0.0224,244000,App,787,0.0949,Automática,Finalizado,0,0,0,1.0,0,21,No informa,2,Universitario,Microempresario,3240000.0,497.0,Aliado comercial,True,1,Android,0,0,4,278,1,1,1,0,0,0,0,1.0,0.0,115.0,1.0
CR000050,CL00046,2025-07-23,Crédito consumo digital,1850000,12,0.0298,186000,App,811,0.0724,Automática,Activo,0,0,0,1.0,0,29,F,5,Técnico/Tecnólogo,Estudiante,1120000.0,613.0,Referido,False,4,iOS,0,0,13,378,3,2,0,1,5,0,1,0.6153846153846154,0.23076923076923078,205.84615384615384,0.0
CR000051,CL00047,2025-10-26,Crédito libre inversión,3250000,18,0.0247,226000,Call center,786,0.1378,Automática,Activo,0,0,19,0.8333333333333334,1,31,F,2,Sin información,Comerciante,1640000.0,569.0,Campaña digital,False,0,Android,0,0,10,256,4,2,0,0,2,0,2,0.8,0.0,139.2,0.0
CR000052,CL00048,2026-01-30,Crédito consumo digital,1650000,6,0.027,302000,Call center,800,0.1175,Automática,Activo,0,0,0,1.0,0,47,M,2,Universitario,Independiente,2370000.0,554.0,App orgánico,False,1,iOS,0,0,15,464,4,2,1,2,3,1,1,0.6666666666666666,0.13333333333333333,161.4,0.5
CR000053,CL00050,2025-05-11,Crédito libre inversión,3750000,12,0.0186,351000,App,803,0.1526,Automática,Mora moderada,0,0,25,0.3333333333333333,4,19,M,3,Bachiller,Pensionado,2300000.0,523.0,App orgánico,False,1,Android,0,0,7,787,2,0,0,0,4,0,1,0.5714285714285714,0.2857142857142857,185.14285714285714,0.0
CR000054,CL00051,2025-12-12,Crédito libre inversión,7550000,3,0.0335,2687000,App,726,0.9842,Excepción,Mora moderada,0,1,49,0.0,3,39,M,3,Técnico/Tecnólogo,Comerciante,2730000.0,530.0,Campaña digital,False,0,Android,0,0,10,585,3,1,2,0,2,1,0,0.8,0.2,135.0,2.0
CR000055,CL00052,2025-06-28,Crédito consumo digital,3250000,6,0.0325,605000,Aliado,782,0.1576,Automática,Mora moderada,0,1,46,0.6666666666666666,2,32,F,4,Técnico/Tecnólogo,Empleado,3840000.0,606.0,App orgánico,False,3,iOS,0,0,12,516,3,1,2,0,3,0,3,0.5833333333333334,0.16666666666666666,126.08333333333333,2.0
CR000056,CL00054,2025-01-05,Crédito consumo digital,1400000,12,0.0252,137000,Web,809,0.0628,Automática,Mora moderada,0,0,24,0.8333333333333334,1,42,M,1,Posgrado,Microempresario,2180000.0,550.0,Referido,False,2,Android,0,0,5,818,1,1,0,0,2,0,0,1.0,0.0,166.2,0.0
CR000057,CL00056,2025-10-23,Crédito consumo digital,2050000,6,0.0217,368000,App,900,0.1553,Automática,Finalizado,0,0,23,0.8333333333333334,1,45,M,2,Bachiller,Empleado,2370000.0,609.0,App orgánico,False,0,Android,0,0,10,162,2,3,1,1,2,1,0,0.7,0.2,117.4,0.3333333333333333
CR000059,CL00057,2024-11-12,Microcrédito,1100000,9,0.0389,147000,Web,775,0.0739,Automática,Mora moderada,0,1,32,0.6666666666666666,2,28,F,4,Técnico/Tecnólogo,Independiente,1990000.0,512.0,Aliado comercial,True,1,Android,0,0,6,709,2,0,0,0,2,0,1,0.5,0.3333333333333333,132.0,0.0
CR000060,CL00058,2024-05-02,Microcrédito,3300000,6,0.0263,602000,App,849,0.2427,Automática,Finalizado,0,0,7,0.8333333333333334,1,33,F,6,Técnico/Tecnólogo,Independiente,2480000.0,667.0,Aliado comercial,False,0,Android,0,0,5,744,1,0,1,0,2,0,1,0.6,0.2,195.0,0.0
CR000061,CL00059,2026-01-05,Crédito consumo digital,1750000,9,0.0346,230000,Call center,860,0.105,Automática,Activo,0,0,0,1.0,0,39,M,3,Bachiller,Independiente,2190000.0,639.0,Campaña digital,False,1,iOS,0,0,11,234,3,0,3,1,2,0,2,0.45454545454545453,0.2727272727272727,224.54545454545453,0.0
CR000062,CL00059,2025-06-27,Avance de nómina,1400000,12,0.0273,138000,App,815,0.063,Automática,Activo,0,0,0,1.0,0,39,M,3,Bachiller,Independiente,2190000.0,639.0,Campaña digital,False,1,iOS,0,0,11,234,3,0,3,1,2,0,2,0.45454545454545453,0.2727272727272727,224.54545454545453,0.0
CR000064,CL00060,2026-02-06,Crédito consumo digital,3350000,9,0.0228,416000,App,900,0.1115,Automática,Activo,0,0,7,0.3333333333333333,1,46,F,3,Técnico/Tecnólogo,Independiente,3730000.0,648.0,Referido,False,0,Android,0,0,13,308,3,2,2,1,4,0,0,0.8461538461538461,0.07692307692307693,155.76923076923077,1.0
CR000065,CL00061,2024-03-09,Crédito consumo digital,1150000,6,0.0321,214000,App,848,0.096,Automática,Finalizado,0,0,6,0.8333333333333334,1,31,M,2,Técnico/Tecnólogo,Empleado,2230000.0,607.0,Referido,False,0,Web,0,0,9,899,2,1,3,0,2,1,0,1.0,0.0,191.55555555555554,3.0
CR000066,CL00062,2025-12-17,Avance de nómina,700000,9,0.0229,87000,App,870,0.0361,Automática,Activo,0,0,0,1.0,0,34,F,4,Posgrado,Independiente,2410000.0,625.0,App orgánico,True,0,iOS,0,0,8,181,2,0,2,0,0,1,2,0.625,0.125,130.5,0.0
CR000067,CL00063,2023-08-08,Crédito consumo digital,2150000,12,0.0305,217000,App,748,0.0702,Automática,Mora moderada,0,0,0,1.0,0,25,F,2,Sin información,Empleado,3090000.0,487.0,Call center,False,3,iOS,0,0,9,1016,5,2,1,0,1,0,0,1.0,0.0,200.22222222222223,0.5
CR000068,CL00064,2025-08-03,Crédito libre inversión,7800000,12,0.0309,788000,App,808,0.2765,Automática,Mora severa,0,1,64,0.8333333333333334,1,24,M,4,Universitario,Independiente,2850000.0,528.0,Call center,False,2,Android,0,0,9,699,5,2,1,0,0,0,1,0.7777777777777778,0.1111111111111111,144.0,0.5
CR000070,CL00065,2025-04-08,Crédito consumo digital,5500000,3,0.0355,1965000,App,900,0.3124,Automática,Mora severa,0,1,88,0.6666666666666666,1,44,M,2,Bachiller,Empleado,6290000.0,732.0,Campaña digital,True,3,Web,0,0,16,758,2,3,3,2,5,0,1,0.75,0.0625,186.6875,1.0
CR000071,CL00067,2025-07-07,Crédito consumo digital,2800000,9,0.024,350000,Aliado,900,0.0882,Automática,Finalizado,0,0,19,0.8333333333333334,1,35,F,2,Técnico/Tecnólogo,Microempresario,3970000.0,728.0,Campaña digital,False,0,Android,0,0,12,380,3,2,1,1,4,0,0,0.9166666666666666,0.0,194.91666666666666,0.5
CR000072,CL00067,2025-01-16,Crédito consumo digital,2600000,6,0.0301,480000,Aliado,900,0.1209,Automática,Finalizado,0,0,0,1.0,0,35,F,2,Técnico/Tecnólogo,Microempresario,3970000.0,728.0,Campaña digital,False,0,Android,0,0,12,380,3,2,1,1,4,0,0,0.9166666666666666,0.0,194.91666666666666,0.5
CR000073,CL00068,2024-10-03,Crédito consumo digital,3200000,12,0.0333,328000,Call center,900,0.0682,Automática,Finalizado,0,0,0,1.0,0,46,M,5,Universitario,Empleado,4810000.0,739.0,App orgánico,True,2,Android,0,0,14,656,3,2,2,0,4,1,2,0.8571428571428571,0.0,154.64285714285714,1.0
CR000074,CL00069,2024-05-11,Crédito libre inversión,2900000,6,0.0266,529000,Aliado,754,0.258,Automática,Finalizado,0,0,18,0.8333333333333334,1,40,M,2,Universitario,Estudiante,2050000.0,500.0,Call center,False,1,Android,0,0,10,850,5,2,1,0,1,0,0,1.0,0.0,167.3,0.5
CR000075,CL00072,2025-08-31,Crédito libre inversión,3350000,9,0.0259,422000,App,889,0.1796,Automática,Activo,0,0,0,1.0,0,51,F,2,Técnico/Tecnólogo,Microempresario,2350000.0,657.0,Campaña digital,False,2,iOS,0,0,8,172,3,2,1,0,2,0,0,0.875,0.125,153.75,0.5
CR000076,CL00073,2026-01-07,Avance de nómina,800000,12,0.0265,79000,Web,844,1.2,Automática,Mora moderada,0,1,54,0.0,3,36,M,1,Técnico/Tecnólogo,Independiente,2040000.0,543.0,App orgánico,True,1,iOS,0,0,11,554,2,0,0,2,4,1,2,0.6363636363636364,0.0,123.54545454545455,0.0
CR000077,CL00074,2025-06-24,Crédito consumo digital,4300000,9,0.0383,574000,Call center,900,0.0939,Automática,Finalizado,0,0,0,1.0,0,52,F,3,Bachiller,Empleado,6110000.0,758.0,Aliado comercial,False,0,Android,0,0,8,164,3,1,0,0,3,0,1,0.75,0.125,181.625,0.0
CR000078,CL00075,2026-01-08,Crédito consumo digital,1400000,6,0.0293,258000,Call center,880,0.0733,Automática,Activo,0,0,0,0.75,0,19,F,3,Universitario,Empleado,3520000.0,588.0,Campaña digital,True,0,Android,0,0,6,347,2,0,1,1,0,1,0,0.8333333333333334,0.0,148.83333333333334,0.0
CR000079,CL00076,2024-10-22,Microcrédito,900000,12,0.0306,91000,App,810,0.0384,Automática,Mora moderada,0,0,17,0.6666666666666666,2,44,F,4,Universitario,Independiente,2370000.0,592.0,Referido,True,2,Android,0,0,10,616,2,2,2,0,4,0,0,0.8,0.2,192.7,1.0
CR000080,CL00077,2025-05-15,Crédito consumo digital,650000,6,0.0277,119000,App,725,0.0613,Automática,Mora severa,0,1,76,0.8333333333333334,1,37,F,4,Bachiller,Microempresario,1940000.0,580.0,Campaña digital,True,3,Android,0,0,10,72,5,0,2,0,3,0,0,0.9,0.1,134.6,0.0
CR000081,CL00077,2025-08-25,Avance de nómina,1000000,12,0.0296,100000,App,870,0.0515,Automática,Activo,0,0,0,1.0,0,37,F,4,Bachiller,Microempresario,1940000.0,580.0,Campaña digital,True,3,Android,0,0,10,72,5,0,2,0,3,0,0,0.9,0.1,134.6,0.0
CR000082,CL00078,2025-11-06,Crédito consumo digital,1850000,6,0.0227,333000,Aliado,900,0.1041,Automática,Activo,0,0,1,0.6666666666666666,1,33,F,2,Técnico/Tecnólogo,Empleado,3200000.0,622.0,Call center,True,3,Android,0,0,10,299,2,3,2,0,1,0,2,0.6,0.2,156.3,0.6666666666666666
CR000083,CL00079,2025-08-17,Microcrédito,600000,6,0.0343,112000,App,832,0.0457,Automática,Finalizado,0,0,0,1.0,0,37,M,2,Técnico/Tecnólogo,Pensionado,2450000.0,501.0,Campaña digital,True,1,Android,0,0,11,665,5,0,0,0,4,1,1,0.7272727272727273,0.18181818181818182,194.54545454545453,0.0
CR000085,CL00081,2025-12-29,Crédito consumo digital,1450000,12,0.0388,153000,App,608,0.0827,Manual,Activo,0,0,1,0.75,1,34,F,3,Universitario,Independiente,1850000.0,588.0,App orgánico,False,0,iOS,1,0,9,837,2,1,2,0,4,0,0,1.0,0.0,122.0,2.0
CR000086,CL00082,2023-06-24,Crédito libre inversión,5550000,9,0.0304,714000,App,846,0.2412,Automática,Mora severa,0,1,70,0.8333333333333334,1,40,M,5,Sin información,Empleado,2960000.0,594.0,Aliado comercial,False,2,Android,0,0,9,891,1,1,3,0,3,1,0,0.7777777777777778,0.2222222222222222,103.11111111111111,3.0
