credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,tasa_outlier,mora_30,max_dias_mora_6m,pct_pagadas_tiempo,n_cuotas_con_mora,fecha_registro,departamento,ciudad,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,canal_adquisicion,score_externo,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,email_hash,score_externo_nulo,edad_sospechosa,total_eventos,dias_activo,logins,pagos_iniciados,pagos_exitosos,pagos_fallidos,consultas_saldo,simulaciones_credito,solicitudes_soporte,pct_exitosos,pct_abandonados,sesion_promedio_seg,tasa_conversion_pago,prob_mora,banda_riesgo
CR000013,CL00012,2025-03-29,Crédito libre inversión,6300000,9,0.0268,797000,Web,870,0.2271,Automática,Finalizado,0,0,0,1.0,0,2024-01-24,Antioquia,Medellín,31,M,4,Universitario,Empleado,3510000.0,Campaña digital,665.0,False,0,Android,hash_925626,0,0,7,678,4,1,1,0,1,0,0,1.0,0.0,207.8571428571429,1.0,0.22437783782295984,"Medio
(15-35%)"
CR000014,CL00013,2026-01-19,Crédito consumo digital,1700000,6,0.0259,310000,App,866,0.0664,Automática,Activo,0,0,0,1.0,0,2024-10-26,Valle del Cauca,Cali,38,M,5,Técnico/Tecnólogo,Empleado,4670000.0,Aliado comercial,692.0,False,0,Android,hash_505105,0,0,10,449,2,2,3,1,1,1,0,0.8,0.1,139.3,1.5,0.18786779012434374,"Medio
(15-35%)"
CR000015,CL00014,2026-02-12,Crédito consumo digital,600000,3,0.0222,209000,Web,610,0.275,Manual,Activo,0,0,0,0.6666666666666666,0,2025-09-30,Cundinamarca,Soacha,19,F,1,Técnico/Tecnólogo,Estudiante,760000.0,App orgánico,435.0,False,3,Android,hash_335419,0,0,10,177,3,2,1,0,2,0,1,0.4,0.5,145.4,0.5,0.6955583732926897,"Muy alto
(> 60%)"
CR000016,CL00015,2025-12-14,Crédito consumo digital,1400000,12,0.0286,139000,App,836,0.0468,Automática,Activo,0,0,16,0.6,1,2026-01-02,Antioquia,Medellín,19,M,4,Bachiller,Empleado,2970000.0,App orgánico,506.0,False,4,iOS,hash_479270,0,0,24,117,6,6,1,2,5,0,1,0.7916666666666666,0.0833333333333333,159.5,0.1666666666666666,0.40911569055493485,"Alto
(35-60%)"
CR000017,CL00015,2025-12-13,Crédito libre inversión,4400000,6,0.022,791000,Web,727,0.2663,Automática,Mora severa,0,1,77,0.4,2,2026-01-02,Antioquia,Medellín,19,M,4,Bachiller,Empleado,2970000.0,App orgánico,506.0,False,4,iOS,hash_479270,0,0,24,117,6,6,1,2,5,0,1,0.7916666666666666,0.0833333333333333,159.5,0.1666666666666666,0.7272562517503965,"Muy alto
(> 60%)"
CR000018,CL00015,2025-12-05,Crédito consumo digital,1450000,9,0.0377,193000,App,868,0.065,Automática,Activo,0,0,26,0.6,1,2026-01-02,Antioquia,Medellín,19,M,4,Bachiller,Empleado,2970000.0,App orgánico,506.0,False,4,iOS,hash_479270,0,0,24,117,6,6,1,2,5,0,1,0.7916666666666666,0.0833333333333333,159.5,0.1666666666666666,0.3603463284090253,"Alto
(35-60%)"
CR000019,CL00016,2024-11-14,Crédito libre inversión,4350000,9,0.0309,561000,App,857,0.2397,Automática,Finalizado,0,0,0,1.0,0,2023-03-05,Atlántico,Barranquilla,30,F,2,Sin información,Empleado,2340000.0,Aliado comercial,577.0,True,1,Web,hash_503777,0,0,7,801,0,1,0,0,1,1,2,0.5714285714285714,0.1428571428571428,142.42857142857142,0.0,0.5219833398955069,"Alto
(35-60%)"
CR000020,CL00017,2025-10-17,Crédito consumo digital,4200000,9,0.0275,533000,App,894,0.1444,Automática,Activo,0,0,15,0.6666666666666666,2,2024-11-22,Caldas,Manizales,26,F,2,Técnico/Tecnólogo,Empleado,3690000.0,App orgánico,658.0,False,1,iOS,hash_466081,0,0,10,492,3,0,2,0,3,1,0,0.8,0.2,174.3,0.0,0.19277795270676637,"Medio
(15-35%)"
CR000021,CL00018,2024-11-27,Crédito consumo digital,850000,6,0.0234,154000,Call center,874,0.0533,Automática,Finalizado,0,0,3,0.8333333333333334,1,2024-03-23,Antioquia,Medellín,39,M,5,Bachiller,Comerciante,2890000.0,Referido,651.0,False,1,Android,hash_771553,0,0,12,637,6,2,0,0,2,0,2,0.6666666666666666,0.1666666666666666,127.41666666666669,0.0,0.3041344745319091,"Medio
(15-35%)"
CR000022,CL00020,2025-04-07,Crédito consumo digital,1950000,3,0.034,695000,Aliado,900,0.1421,Automática,Finalizado,0,0,0,1.0,0,2023-08-14,Bogotá D.C.,Bogotá,22,M,5,Universitario,Empleado,4890000.0,Referido,706.0,True,2,Android,hash_838096,0,0,13,928,6,2,1,1,1,0,2,0.6153846153846154,0.1538461538461538,116.0,0.5,0.2216147420869759,"Medio
(15-35%)"
CR000023,CL00023,2026-01-26,Crédito consumo digital,4100000,9,0.0322,532000,App,900,0.1354,Automática,Activo,0,0,0,1.0,0,2025-11-13,Cundinamarca,Soacha,37,F,5,Sin información,Empleado,3930000.0,Referido,669.0,False,0,Android,hash_429231,0,0,5,122,0,2,0,0,1,0,1,0.6,0.2,69.0,0.0,0.21649825034115658,"Medio
(15-35%)"
CR000024,CL00026,2025-10-28,Crédito consumo digital,2050000,12,0.0308,207000,App,867,0.0674,Automática,Activo,0,0,2,0.8333333333333334,1,2025-10-21,Santander,Bucaramanga,37,F,3,Técnico/Tecnólogo,Independiente,3070000.0,Aliado comercial,618.0,False,0,Android,hash_796454,0,0,6,145,2,1,0,0,0,1,2,0.5,0.1666666666666666,190.33333333333331,0.0,0.2549404302143881,"Medio
(15-35%)"
CR000025,CL00027,2024-03-03,Crédito consumo digital,1300000,12,0.0248,127000,App,845,0.0357,Automática,Mora severa,0,0,0,1.0,0,2023-05-23,Bogotá D.C.,Bogotá,24,F,5,Técnico/Tecnólogo,Independiente,3560000.0,Call center,616.0,True,1,iOS,hash_737787,0,0,4,938,3,0,0,0,1,0,0,0.75,0.25,156.75,0.0,0.22451008641896034,"Medio
(15-35%)"
CR000026,CL00028,2025-05-15,Crédito consumo digital,850000,12,0.0212,81000,Aliado,708,0.075,Automática,Mora severa,0,0,15,0.8333333333333334,1,2025-11-13,Santander,Bucaramanga,40,F,4,Sin información,Estudiante,1080000.0,Referido,548.0,False,0,iOS,hash_900819,0,0,18,153,9,3,0,0,4,1,0,0.9444444444444444,0.0555555555555555,150.05555555555554,0.0,0.5069190249899003,"Alto
(35-60%)"
CR000027,CL00028,2025-10-03,Crédito libre inversión,1950000,6,0.0311,361000,Aliado,667,0.3343,Automática,Finalizado,0,0,14,0.5,3,2025-11-13,Santander,Bucaramanga,40,F,4,Sin información,Estudiante,1080000.0,Referido,548.0,False,0,iOS,hash_900819,0,0,18,153,9,3,0,0,4,1,0,0.9444444444444444,0.0555555555555555,150.05555555555554,0.0,0.6813868950749817,"Muy alto
(> 60%)"
CR000028,CL00028,2025-12-20,Crédito libre inversión,2550000,6,0.0284,468000,App,661,0.4333,Manual,Activo,0,0,22,0.5,2,2025-11-13,Santander,Bucaramanga,40,F,4,Sin información,Estudiante,1080000.0,Referido,548.0,False,0,iOS,hash_900819,0,0,18,153,9,3,0,0,4,1,0,0.9444444444444444,0.0555555555555555,150.05555555555554,0.0,0.7060033079139094,"Muy alto
(> 60%)"
CR000029,CL00029,2025-10-10,Crédito consumo digital,3300000,6,0.0322,614000,App,877,0.1616,Automática,Finalizado,0,0,0,1.0,0,2024-05-09,Norte de Santander,Cúcuta,30,F,2,Técnico/Tecnólogo,Microempresario,3800000.0,Call center,645.0,False,0,Android,hash_737938,0,0,10,611,1,3,1,0,1,0,3,0.6,0.1,183.4,0.3333333333333333,0.22703704879099415,"Medio
(15-35%)"
CR000030,CL00030,2025-12-18,Crédito libre inversión,4350000,12,0.0217,416000,App,864,0.1195,Automática,Activo,0,0,0,1.0,0,2025-11-06,Cundinamarca,Soacha,33,M,3,Universitario,Empleado,3480000.0,Referido,636.0,False,0,Android,hash_332076,0,0,9,156,2,3,2,1,0,0,1,0.5555555555555556,0.2222222222222222,149.22222222222223,0.6666666666666666,0.2997649884048579,"Medio
(15-35%)"
CR000031,CL00031,2026-01-29,Crédito libre inversión,9600000,18,0.0204,643000,Aliado,900,0.1448,Automática,Activo,0,0,0,1.0,0,2024-06-03,Bolívar,Cartagena,30,M,3,Universitario,Independiente,4440000.0,Campaña digital,615.0,True,0,Android,hash_403602,0,0,6,495,1,0,1,0,1,1,2,0.6666666666666666,0.0,92.5,0.0,0.28038374260473287,"Medio
(15-35%)"
CR000032,CL00033,2025-08-11,Crédito consumo digital,4000000,12,0.0383,422000,App,900,0.1275,Automática,Activo,0,0,0,1.0,0,2025-07-30,Caldas,Manizales,36,M,4,Bachiller,Independiente,3310000.0,Referido,675.0,False,1,Android,hash_296846,0,0,6,219,2,1,1,0,0,1,1,0.6666666666666666,0.1666666666666666,120.33333333333331,1.0,0.27388883759205723,"Medio
(15-35%)"
CR000033,CL00034,2026-02-01,Microcrédito,700000,6,0.0255,127000,App,811,0.083,Automática,Activo,0,0,0,0.6666666666666666,0,2026-01-04,Bogotá D.C.,Bogotá,25,F,1,Técnico/Tecnólogo,Comerciante,1530000.0,Aliado comercial,476.0,True,1,Android,hash_347536,0,0,22,109,6,2,0,2,4,1,4,0.6818181818181818,0.0454545454545454,168.54545454545453,0.0,0.5497017691114958,"Alto
(35-60%)"
CR000034,CL00034,2025-08-01,Crédito libre inversión,1200000,12,0.0332,123000,Web,730,0.0804,Automática,Mora moderada,0,1,32,0.6666666666666666,2,2026-01-04,Bogotá D.C.,Bogotá,25,F,1,Técnico/Tecnólogo,Comerciante,1530000.0,Aliado comercial,476.0,True,1,Android,hash_347536,0,0,22,109,6,2,0,2,4,1,4,0.6818181818181818,0.0454545454545454,168.54545454545453,0.0,0.6843910687378784,"Muy alto
(> 60%)"
CR000035,CL00035,2025-03-21,Crédito consumo digital,4050000,6,0.0373,766000,Web,900,0.152,Automática,Finalizado,0,0,0,1.0,0,2024-12-01,Atlántico,Barranquilla,44,M,3,Posgrado,Microempresario,5040000.0,Campaña digital,684.0,False,2,Android,hash_732405,0,0,8,262,6,0,0,0,0,0,2,0.625,0.125,85.875,0.0,0.22368012993378428,"Medio
(15-35%)"
CR000036,CL00036,2025-09-29,Crédito consumo digital,950000,12,0.0211,90000,Aliado,572,0.0448,Manual,Activo,0,0,0,1.0,0,2025-02-16,Cundinamarca,Soacha,24,M,2,Técnico/Tecnólogo,Independiente,2010000.0,Campaña digital,588.0,True,1,Android,hash_647473,1,0,17,389,4,4,1,2,3,1,0,0.7647058823529411,0.1176470588235294,153.1764705882353,0.25,0.47005674093876915,"Alto
(35-60%)"
CR000037,CL00036,2025-11-03,Crédito libre inversión,6550000,6,0.0248,1188000,App,462,0.591,Excepción,Activo,0,0,27,0.3333333333333333,3,2025-02-16,Cundinamarca,Soacha,24,M,2,Técnico/Tecnólogo,Independiente,2010000.0,Campaña digital,588.0,True,1,Android,hash_647473,1,0,17,389,4,4,1,2,3,1,0,0.7647058823529411,0.1176470588235294,153.1764705882353,0.25,0.6201188090543532,"Muy alto
(> 60%)"
CR000038,CL00037,2025-10-10,Crédito libre inversión,6450000,6,0.0267,1178000,Web,889,0.5746,Excepción,Mora moderada,0,1,52,0.6666666666666666,2,2025-07-20,Norte de Santander,Cúcuta,38,M,1,Posgrado,Empleado,2050000.0,Campaña digital,601.0,False,1,Android,hash_976533,0,0,8,232,2,0,1,0,4,0,0,0.875,0.125,147.625,0.0,0.6194236459416516,"Muy alto
(> 60%)"
CR000039,CL00038,2025-09-19,Crédito consumo digital,1900000,12,0.0338,195000,App,679,0.0759,Automática,Mora severa,0,1,73,0.3333333333333333,4,2025-06-29,Antioquia,Medellín,19,F,3,Bachiller,Desempleado,760000.0,Referido,418.0,False,2,Android,hash_209162,0,0,8,204,2,2,0,0,2,0,1,0.625,0.25,160.75,0.0,0.7376555984052654,"Muy alto
(> 60%)"
CR000040,CL00039,2025-11-29,Crédito consumo digital,2650000,6,0.0263,483000,App,854,0.1543,Automática,Activo,0,0,0,1.0,0,2024-03-21,Tolima,Ibagué,23,M,4,Universitario,Empleado,3130000.0,Campaña digital,670.0,True,2,Android,hash_431119,0,0,13,621,2,3,3,1,1,2,0,0.8461538461538461,0.0769230769230769,202.23076923076923,1.0,0.23045414397554376,"Medio
(15-35%)"
CR000041,CL00039,2024-06-27,Crédito libre inversión,4450000,12,0.0183,417000,App,864,0.1332,Automática,Mora moderada,0,0,0,1.0,0,2024-03-21,Tolima,Ibagué,23,M,4,Universitario,Empleado,3130000.0,Campaña digital,670.0,True,2,Android,hash_431119,0,0,13,621,2,3,3,1,1,2,0,0.8461538461538461,0.0769230769230769,202.23076923076923,1.0,0.2228922863666752,"Medio
(15-35%)"
CR000042,CL00040,2025-09-01,Microcrédito,2350000,3,0.0408,848000,App,900,0.2024,Automática,Mora severa,0,1,74,0.6666666666666666,1,2025-12-08,Bolívar,Cartagena,38,M,3,Bachiller,Microempresario,4190000.0,App orgánico,610.0,False,2,iOS,hash_831862,0,0,14,134,6,2,1,0,2,0,3,0.5714285714285714,0.2142857142857142,128.28571428571428,0.5,0.37235336934145463,"Alto
(35-60%)"
CR000043,CL00040,2026-01-09,Avance de nómina,1800000,6,0.0187,320000,Web,840,0.0764,Automática,Activo,0,0,0,0.75,0,2025-12-08,Bolívar,Cartagena,38,M,3,Bachiller,Microempresario,4190000.0,App orgánico,610.0,False,2,iOS,hash_831862,0,0,14,134,6,2,1,0,2,0,3,0.5714285714285714,0.2142857142857142,128.28571428571428,0.5,0.29083398185002984,"Medio
(15-35%)"
CR000044,CL00041,2023-10-04,Microcrédito,3800000,3,0.0396,1368000,App,827,0.45,Manual,Finalizado,0,0,0,1.0,0,2023-06-28,Atlántico,Barranquilla,43,F,4,Técnico/Tecnólogo,Independiente,3040000.0,Campaña digital,699.0,False,1,Android,hash_795532,0,0,8,929,3,1,3,0,0,0,1,0.875,0.0,105.625,3.0,0.30608567415152405,"Medio
(15-35%)"
CR000046,CL00043,2025-03-30,Crédito consumo digital,1550000,9,0.0294,199000,Call center,900,0.0812,Automática,Finalizado,0,0,0,1.0,0,2024-03-07,Santander,Bucaramanga,35,M,5,Técnico/Tecnólogo,Empleado,2450000.0,App orgánico,690.0,False,2,Android,hash_869460,0,0,5,519,2,0,0,0,1,0,1,0.4,0.4,172.8,0.0,0.28378825465085744,"Medio
(15-35%)"
CR000047,CL00044,2026-01-05,Crédito consumo digital,1150000,12,0.0308,116000,Aliado,900,0.0391,Automática,Activo,0,0,0,0.75,0,2024-12-25,Cundinamarca,Soacha,33,F,4,Bachiller,Microempresario,2970000.0,App orgánico,704.0,False,0,Android,hash_791319,0,0,10,364,1,2,1,1,2,1,2,0.7,0.0,112.9,0.5,0.20299580477826754,"Medio
(15-35%)"
CR000048,CL00044,2025-09-09,Avance de nómina,900000,3,0.0192,312000,Aliado,900,0.1051,Automática,Finalizado,0,0,0,1.0,0,2024-12-25,Cundinamarca,Soacha,33,F,4,Bachiller,Microempresario,2970000.0,App orgánico,704.0,False,0,Android,hash_791319,0,0,10,364,1,2,1,1,2,1,2,0.7,0.0,112.9,0.5,0.2175438916561195,"Medio
(15-35%)"
CR000049,CL00045,2024-11-13,Crédito consumo digital,700000,3,0.0224,244000,App,787,0.0949,Automática,Finalizado,0,0,0,1.0,0,2024-10-23,Cundinamarca,Soacha,21,No informa,2,Universitario,Microempresario,3240000.0,Aliado comercial,497.0,True,1,Android,hash_921935,0,0,4,278,1,1,1,0,0,0,0,1.0,0.0,115.0,1.0,0.4146670362409904,"Alto
(35-60%)"
CR000050,CL00046,2025-07-23,Crédito consumo digital,1850000,12,0.0298,186000,App,811,0.0724,Automática,Activo,0,0,0,1.0,0,2025-01-21,Cundinamarca,Soacha,29,F,5,Técnico/Tecnólogo,Estudiante,1120000.0,Referido,613.0,False,4,iOS,hash_348724,0,0,13,378,3,2,0,1,5,0,1,0.6153846153846154,0.2307692307692307,205.84615384615384,0.0,0.3334371979693206,"Medio
(15-35%)"
CR000051,CL00047,2025-10-26,Crédito libre inversión,3250000,18,0.0247,226000,Call center,786,0.1378,Automática,Activo,0,0,19,0.8333333333333334,1,2025-08-08,Risaralda,Pereira,31,F,2,Sin información,Comerciante,1640000.0,Campaña digital,569.0,False,0,Android,hash_799746,0,0,10,256,4,2,0,0,2,0,2,0.8,0.0,139.2,0.0,0.5449683021500054,"Alto
(35-60%)"
CR000052,CL00048,2026-01-30,Crédito consumo digital,1650000,6,0.027,302000,Call center,800,0.1175,Automática,Activo,0,0,0,1.0,0,2025-01-03,Tolima,Ibagué,47,M,2,Universitario,Independiente,2370000.0,App orgánico,554.0,False,1,iOS,hash_892173,0,0,15,464,4,2,1,2,3,1,1,0.6666666666666666,0.1333333333333333,161.4,0.5,0.47011503437661367,"Alto
(35-60%)"
CR000053,CL00050,2025-05-11,Crédito libre inversión,3750000,12,0.0186,351000,App,803,0.1526,Automática,Mora moderada,0,0,25,0.3333333333333333,4,2023-09-17,Bogotá D.C.,Bogotá,19,M,3,Bachiller,Pensionado,2300000.0,App orgánico,523.0,False,1,Android,hash_362091,0,0,7,787,2,0,0,0,4,0,1,0.5714285714285714,0.2857142857142857,185.14285714285717,0.0,0.577476984726488,"Alto
(35-60%)"
CR000054,CL00051,2025-12-12,Crédito libre inversión,7550000,3,0.0335,2687000,App,726,0.9842,Excepción,Mora moderada,0,1,49,0.0,3,2024-08-07,Bogotá D.C.,Bogotá,39,M,3,Técnico/Tecnólogo,Comerciante,2730000.0,Campaña digital,530.0,False,0,Android,hash_774533,0,0,10,585,3,1,2,0,2,1,0,0.8,0.2,135.0,2.0,0.5847475905885493,"Alto
(35-60%)"
CR000055,CL00052,2025-06-28,Crédito consumo digital,3250000,6,0.0325,605000,Aliado,782,0.1576,Automática,Mora moderada,0,1,46,0.6666666666666666,2,2024-04-01,Santander,Bucaramanga,32,F,4,Técnico/Tecnólogo,Empleado,3840000.0,App orgánico,606.0,False,3,iOS,hash_571869,0,0,12,516,3,1,2,0,3,0,3,0.5833333333333334,0.1666666666666666,126.08333333333331,2.0,0.49136533535298677,"Alto
(35-60%)"
CR000056,CL00054,2025-01-05,Crédito consumo digital,1400000,12,0.0252,137000,Web,809,0.0628,Automática,Mora moderada,0,0,24,0.8333333333333334,1,2023-06-21,Valle del Cauca,Cali,42,M,1,Posgrado,Microempresario,2180000.0,Referido,550.0,False,2,Android,hash_741593,0,0,5,818,1,1,0,0,2,0,0,1.0,0.0,166.2,0.0,0.4164284257178952,"Alto
(35-60%)"
CR000057,CL00056,2025-10-23,Crédito consumo digital,2050000,6,0.0217,368000,App,900,0.1553,Automática,Finalizado,0,0,23,0.8333333333333334,1,2025-08-08,Santander,Bucaramanga,45,M,2,Bachiller,Empleado,2370000.0,App orgánico,609.0,False,0,Android,hash_503551,0,0,10,162,2,3,1,1,2,1,0,0.7,0.2,117.4,0.3333333333333333,0.31213258308376124,"Medio
(15-35%)"
CR000059,CL00057,2024-11-12,Microcrédito,1100000,9,0.0389,147000,Web,775,0.0739,Automática,Mora moderada,0,1,32,0.6666666666666666,2,2023-01-28,Bogotá D.C.,Bogotá,28,F,4,Técnico/Tecnólogo,Independiente,1990000.0,Aliado comercial,512.0,True,1,Android,hash_755244,0,0,6,709,2,0,0,0,2,0,1,0.5,0.3333333333333333,132.0,0.0,0.6797612830711554,"Muy alto
(> 60%)"
CR000060,CL00058,2024-05-02,Microcrédito,3300000,6,0.0263,602000,App,849,0.2427,Automática,Finalizado,0,0,7,0.8333333333333334,1,2023-10-13,Antioquia,Medellín,33,F,6,Técnico/Tecnólogo,Independiente,2480000.0,Aliado comercial,667.0,False,0,Android,hash_805356,0,0,5,744,1,0,1,0,2,0,1,0.6,0.2,195.0,0.0,0.2768048999922535,"Medio
(15-35%)"
CR000061,CL00059,2026-01-05,Crédito consumo digital,1750000,9,0.0346,230000,Call center,860,0.105,Automática,Activo,0,0,0,1.0,0,2025-06-08,Bolívar,Cartagena,39,M,3,Bachiller,Independiente,2190000.0,Campaña digital,639.0,False,1,iOS,hash_223728,0,0,11,234,3,0,3,1,2,0,2,0.4545454545454545,0.2727272727272727,224.54545454545453,0.0,0.2883767595676127,"Medio
(15-35%)"
CR000062,CL00059,2025-06-27,Avance de nómina,1400000,12,0.0273,138000,App,815,0.063,Automática,Activo,0,0,0,1.0,0,2025-06-08,Bolívar,Cartagena,39,M,3,Bachiller,Independiente,2190000.0,Campaña digital,639.0,False,1,iOS,hash_223728,0,0,11,234,3,0,3,1,2,0,2,0.4545454545454545,0.2727272727272727,224.54545454545453,0.0,0.3437687561548294,"Medio
(15-35%)"
CR000064,CL00060,2026-02-06,Crédito consumo digital,3350000,9,0.0228,416000,App,900,0.1115,Automática,Activo,0,0,7,0.3333333333333333,1,2025-03-17,Cundinamarca,Soacha,46,F,3,Técnico/Tecnólogo,Independiente,3730000.0,Referido,648.0,False,0,Android,hash_181972,0,0,13,308,3,2,2,1,4,0,0,0.8461538461538461,0.0769230769230769,155.76923076923077,1.0,0.2264662999895867,"Medio
(15-35%)"
CR000065,CL00061,2024-03-09,Crédito consumo digital,1150000,6,0.0321,214000,App,848,0.096,Automática,Finalizado,0,0,6,0.8333333333333334,1,2023-04-06,Bogotá D.C.,Bogotá,31,M,2,Técnico/Tecnólogo,Empleado,2230000.0,Referido,607.0,False,0,Web,hash_900511,0,0,9,899,2,1,3,0,2,1,0,1.0,0.0,191.55555555555557,3.0,0.24328870720591414,"Medio
(15-35%)"
